word,chinese
ball,球
cat,猫
dog,狗
fish,鱼
apple,苹果
egg,蛋
girl,女孩
hat,帽子
insect,昆虫
jelly,果冻
kite,风筝
green,绿色的
red,红色的
blue,蓝色的
leg,腿
mouth,嘴
nose,鼻子
yellow,黄色的
orange,橙子
pig,猪
boy,男孩
sun,太阳
table,桌子
umbrella,伞
king,国王
queen,王后
monkey,猴子
panda,熊猫
zebra,斑马
zoo,动物园
violin,小提琴
window,窗户
xylophone,木琴
family,家人
mum,妈妈
dad,爸爸
sister,姐姐; 妹妹
brother,哥哥; 弟弟
friend,朋友
bike,自行车
car,小汽车
doll,玩偶
robot,机器人
train,火车
van,小型货车
book,书
pen,钢笔
pencil,铅笔
pencil case,铅笔袋
rubber,橡皮
ruler,尺子
school bag,书包
bone,骨头
hamburger,汉堡包
salad,沙拉
sausage,香肠
tomato,西红柿
pizza,比萨饼
one,一
two,二
three,三
four,四
five,五
six,六
seven,七
eight,八
nine,九
ten,十
tall,高的
short,短的
big,大的
little,小的
fat,胖的
thin,瘦的
dancer,舞蹈演员
doctor,医生
nurse,护士
policeman,男警察
policewoman,女警察
postman,邮递员
teacher,教师
frog,青蛙
mouse,老鼠
parrot,鹦鹉
rabbit,兔子
tortoise,乌龟
anorak,带风帽的夹克
cap,帽子
T-shirt,T恤衫
shirt,衬衫
sweater,毛衣
behind,在……后面
in,在……里面
in front of,在……前面
on,在……上面
under,在……下面
morning,上午
afternoon,下午
evening,晚上
hello,你好
friend,朋友
welcome,欢迎
name,名字
hi,嗨
pack,包装
my,我的
schoolbag,书包
pencil,铅笔
ruler,尺子
eraser,橡皮擦
book,书
pencil case,铅笔盒
clean,干净
classroom,教室
door,门
desk,课桌
chair,椅子
on duty,值日
blackboard,黑板
floor,地板
face,脸
eye,眼睛
ear,耳朵
nose,鼻子
mouth,嘴巴
family,家庭
mum,妈妈
dad,爸爸
brother,兄弟
sister,姐妹
me,我
warm,温暖
happy,快乐
love,爱
helpful,有用的
animal,动物
horse,马
dog,狗
hen,母鸡
bee,蜜蜂
cat,猫
bird,鸟
hill,山丘
fly away,飞走
come back,回来
flap wings,拍打翅膀
wash,洗涤
tie shoelace,系鞋带
take a photo,拍照
Bye,再见
Goodbye,再见
Hello,你好
Hey,嘿
Hi,嗨
Be quiet,安静点
Listen,听
Raise your hand,举手
Sit down,坐下
Stand up,站起来
close,关闭
color,颜色
cut,切割
draw,绘画
fold,折叠
open,打开
point,指向
put away,收起
stick,黏贴
tidy,整理
write,写作
bag,包
board,板子
book,书
chair,椅子
classroom,教室
desk,课桌
door,门
eraser,橡皮擦
glue,胶水
paper,纸张
pen,笔
pencil,铅笔
ruler,尺子
scissors,剪刀
student,学生
teacher,老师
trash can,垃圾桶
arm,臂
ears,耳朵
eyes,眼睛
foot,脚
hair,头发
hand,手
head,头
leg,腿
neck,脖子
nose,鼻子
mouth,嘴巴
black,黑色
blond,金色
blue,蓝色
brown,棕色
green,绿色
pink,粉红色
red,红色
clothes,衣服
cap,帽子
dress,连衣裙
hat,帽子
jeans,牛仔裤
big,大
long,长
short,短
small,小
colors,颜色
orange,橙色
purple,紫色
yellow,黄色
pants,裤子
