word,main,jyc,fyc,explanation
一手,1,把手,放手,指一只手的动作或技巧
把手,2,把手,,握住某物，同“一手”
放手,3,,放手,松开手，与“一手”相反
二目,1,双眼,盲目,两只眼睛一起看
双眼,2,双眼,,同义于“二目”，指两只眼睛
盲目,3,,盲目,看不见，与“二目”相反
三口,1,家庭,独居,一家人的成员数，通常指小家庭
家庭,2,家庭,,同义于“三口”，指家庭成员
独居,3,,独居,单独生活，与“三口”相反
上耳,1,聆听,忽略,注意听，提高警觉性
聆听,2,聆听,,认真地听，同“上耳”
忽略,3,,忽略,不注意，与“上耳”相反
日出,1,晨曦,日落,太阳升起的现象
晨曦,2,晨曦,,清晨的日光，同“日出”
日落,3,,日落,太阳下山的现象，与“日出”相反
田地,1,农田,荒地,种植农作物的土地
农田,2,农田,,用于耕种的田地，同“田地”
荒地,3,,荒地,未开垦的土地，与“田地”相反
禾苗,1,幼苗,枯草,刚发芽的稻或其他谷物
幼苗,2,幼苗,,初生的植物，同“禾苗”
枯草,3,,枯草,干枯的草，与“禾苗”相反
火焰,1,炎火,冰雪,燃烧产生的光和热
炎火,2,炎火,,强烈的火焰，同“火焰”
冰雪,3,,冰雪,冷冻形成的固体水，与“火焰”相反
虫鸣,1,蟋蟀,静默,昆虫发出的声音
蟋蟀,2,蟋蟀,,发出声音的一种昆虫，同“虫鸣”
静默,3,,静默,安静无声，与“虫鸣”相反
云彩,1,彩云,晴空,天空中变化多彩的云
彩云,2,彩云,,有颜色的云，同“云彩”
晴空,3,,晴空,没有云的天空，与“云彩”相反
山峰,1,峰顶,平原,山的最高点
峰顶,2,峰顶,,山的顶端，同“山峰”
平原,3,,平原,平坦开阔的地方，与“山峰”相反
八方,1,四面,中心,各个方向
四面,2,四面,,四周的方向，同“八方”
中心,3,,中心,中间的位置，与“八方”相反
十全,1,完美,缺点,十分完美，没有任何缺陷
完美,2,完美,,没有瑕疵的状态，同“十全”
缺点,3,,缺点,存在不足之处，与“十全”相反
子夜,1,午夜,黎明,半夜时分
午夜,2,午夜,,深夜十二点，同“子夜”
黎明,3,,黎明,天快亮的时候，与“子夜”相反
人间,1,世上,天上,人类生活的世界
世上,2,世上,,世界上，同“人间”
天上,3,,天上,与人间相对的世界，与“人间”相反
大会,1,会议,分散,大型集会或会议
会议,2,会议,,讨论事务的集会，同“大会”
分散,3,,分散,分开，与“大会”相反
月亮,1,月光,日光,夜晚发光的天体
月光,2,月光,,月亮的光辉，同“月亮”
日光,3,,日光,白天太阳的光，与“月亮”相反
儿歌,1,童谣,成歌,给儿童唱的歌曲
童谣,2,童谣,,儿童的歌谣，同“儿歌”
成歌,3,,成歌,成年人的歌曲，与“儿歌”相反
头脑,1,思维,迷糊,人的智慧和思考能力
思维,2,思维,,思考的过程，同“头脑”
迷糊,3,,迷糊,思维混乱不清，与“头脑”相反
里面,1,内部,外面,物体内部的空间
